Name,Rating,Reviews,Phone,Address,Category,Yelp URL,Suburb
"Manhor",3.1,8,+61395295511,"137 Chapel St, Windsor Victoria 3181, Australia","Hair Salons",https://www.yelp.com/biz/manhor-windsor-2,Prahran
"Mien Salon Spa",3.1,8,+61394829199,"370 Queens Pde, Fitzroy North Victoria 3068, Australia","Hair Salons",https://www.yelp.com/biz/mien-salon-spa-fitzroy-north-2,Northcote
"Transport Hotel",3.2,24,+61396548808,"2 Swanston St, Federation Square, Melbourne Victoria 3000, Australia","Pubs, Sports Bars, Gastropubs",https://www.yelp.com/biz/transport-hotel-melbourne-3,South Yarra
"Shizuku",3.2,21,+61399958180,"309 Victoria St, Abbotsford Victoria 3067, Australia","Japanese",https://www.yelp.com/biz/shizuku-abbotsford-5,Richmond
"Cafe Corretto",3.2,15,+61393472300,"225-227 Lygon St, #227, Carlton Victoria 3053, Australia","Italian, Pizza, Pasta Shops",https://www.yelp.com/biz/cafe-corretto-carlton,Carlton
"Sandbar Beach Cafe",3.2,13,+61396450250,"175b Beaconsfield Pde, Middle Park Victoria 3206, Australia","Restaurants, Coffee & Tea",https://www.yelp.com/biz/sandbar-beach-cafe-middle-park,St Kilda
"Shibui",3.2,11,+61398209130,"67 Toorak Rd, South Yarra Victoria 3141, Australia","Hair Salons",https://www.yelp.com/biz/shibui-south-yarra,Richmond
"Hardrock Climbing",3.2,10,+61396315300,"4/8 Franklin St, Melbourne Victoria 3000, Australia","Climbing",https://www.yelp.com/biz/hardrock-climbing-melbourne-3,Fitzroy
"MJR Tom",3.2,9,+61394198048,"108 Smith St, Melbourne Victoria 3066, Australia","Bars, Coffee & Tea",https://www.yelp.com/biz/mjr-tom-melbourne,Collingwood
"Wild Yak Tibetan Restaurant",3.2,6,+61394862733,"350 High St, Northcote Victoria 3070, Australia","Restaurants",https://www.yelp.com/biz/wild-yak-tibetan-restaurant-northcote,Northcote
"Gold Leaf Chinese Restaurant",3.2,6,+61394702882,"417-419 High St, Shop 7, Preston Victoria 3072, Australia","Chinese",https://www.yelp.com/biz/gold-leaf-chinese-restaurant-preston-2,Reservoir
"Barber Shop",3.2,6,+61395346008,"197 Barkly St, St Kilda Victoria 3182, Australia","Hair Salons",https://www.yelp.com/biz/barber-shop-st-kilda,St Kilda
"Barber Saloon Mens Hairdressing",3.2,6,+61393281767,"73 Errol St, North Melbourne Victoria 3051, Australia","Hair Salons",https://www.yelp.com/biz/barber-saloon-mens-hairdressing-north-melbourne,Sunshine
"Hot Fish",3.2,5,+61396893400,"11-21 Wingfield St, Footscray Victoria 3011, Australia","Fish & Chips",https://www.yelp.com/biz/hot-fish-footscray,Footscray
"Charles & Gamon",3.2,5,+61396890203,"2 Gamon St, Seddon Victoria 3011, Australia","Wine Bars, American",https://www.yelp.com/biz/charles-and-gamon-seddon,Footscray
"Cornerstone Pizzeria",3.2,5,+61393546770,"105/107 Harding St, Coburg Victoria 3058, Australia","Pizza, Italian",https://www.yelp.com/biz/cornerstone-pizzeria-coburg,Coburg
"Pinarbasi Restaurant",3.2,5,+61393834966,"279 Sydney Rd, Shop 279, Coburg Victoria 3058, Australia","Middle Eastern",https://www.yelp.com/biz/pinarbasi-restaurant-coburg-2,Coburg
"Lady Bower Kitchen",3.2,5,+61394695851,"1a Marchant Ave, Reservoir Victoria 3073, Australia","Restaurants",https://www.yelp.com/biz/lady-bower-kitchen-reservoir,Reservoir
"Midas Yarraville",3.2,5,+61393149062,"385 Williamstown Rd, Yarraville Victoria 3013, Australia","Auto Repair",https://www.yelp.com/biz/midas-yarraville-yarraville,Sunshine
"Tiamo Coffee Restaurant",3.3,43,+61393470911,"303 Lygon St, Carlton Victoria 3053, Australia","Italian",https://www.yelp.com/biz/tiamo-coffee-restaurant-carlton-2,Fitzroy
"Abbey Road Cafe",3.3,35,+61395348946,"129-131 Acland St, St Kilda Victoria 3182, Australia","Coffee & Tea, Bars, Australian",https://www.yelp.com/biz/abbey-road-cafe-st-kilda,St Kilda
"Soda Rock Diner",3.3,29,+61398273500,"500 Chapel St, Melbourne Victoria 3141, Australia","American",https://www.yelp.com/biz/soda-rock-diner-melbourne,Richmond
"The Penny Black",3.3,22,+61393808667,"420 Sydney Rd, Brunswick Victoria 3056, Australia","Pizza, Wine Bars",https://www.yelp.com/biz/the-penny-black-brunswick-2,Brunswick
"DOC Espresso",3.3,19,+61393478482,"326 Lygon St, Carlton Victoria 3053, Australia","Cafes",https://www.yelp.com/biz/doc-espresso-carlton,Carlton
"Tyranny of Distance",3.3,18,+61395251005,"147 Union St, Windsor Victoria 3181, Australia","Restaurants, Coffee & Tea",https://www.yelp.com/biz/tyranny-of-distance-windsor,Prahran
"Apte",3.3,16,+61394822991,"538 Heidelberg Rd, Alphington Victoria 3078, Australia","Restaurants, Coffee & Tea",https://www.yelp.com/biz/apte-alphington-2,Northcote
"Ab's Barber Shop",3.3,16,+61417311321,"162 William St, Melbourne Victoria 3000, Australia","Barbers",https://www.yelp.com/biz/abs-barber-shop-melbourne,Footscray
"Taco Truck",3.3,12,,"Rathdown St, Brunswick East Victoria 3057, Australia","Street Vendors, Fast Food",https://www.yelp.com/biz/taco-truck-brunswick-east,Brunswick
"Rudimentary",3.3,11,+61497058173,"16 - 20 Leeds St, Footscray Victoria 3011, Australia","Cafes",https://www.yelp.com/biz/rudimentary-footscray,Footscray
"Gold Leaf Chinese Restaurant",3.3,11,+61393111863,"491 Ballarat Rd, Sunshine Victoria 3020, Australia","Chinese",https://www.yelp.com/biz/gold-leaf-chinese-restaurant-sunshine,Sunshine
"The Herbert Cafe",3.3,10,+61380603637,"41 Arthurton Rd, Northcote Victoria 3070, Australia","Coffee & Tea",https://www.yelp.com/biz/the-herbert-cafe-northcote,Thornbury
"Noodle Kingdom",3.3,10,+61394788885,"469 High St, Shop 3, Preston Victoria 3072, Australia","Chinese",https://www.yelp.com/biz/noodle-kingdom-preston,Reservoir
"King's Domain Barber Shop",3.3,10,+61399393100,"Unit 1, 177 Toorak Rd, South Yarra Victoria 3141, Australia","Barbers",https://www.yelp.com/biz/kings-domain-barber-shop-south-yarra,South Yarra
"Dumplings & Moore",3.3,9,+61396892165,"96 Hopkins St, Footscray Victoria 3011, Australia","Chinese",https://www.yelp.com/biz/dumplings-and-moore-footscray-2,Footscray
"Tono on Borsari",3.3,9,+61393491444,"201 Lygon Street, Carlton Victoria 3053, Australia","Italian, Pizza",https://www.yelp.com/biz/tono-on-borsari-carlton,Carlton
"The Shaw Davey Slum",3.3,9,+61398258980,"171-175 Elgin St, Melbourne Victoria 3053, Australia","Bars, Restaurants",https://www.yelp.com/biz/the-shaw-davey-slum-melbourne,Carlton
"Brother Wolf",3.3,9,+61391933041,"110 Greville St, Prahran Victoria 3181, Australia","Hair Salons",https://www.yelp.com/biz/brother-wolf-prahran-2,St Kilda
"Chato",3.3,8,+61394848554,"921 High St, Thornbury Victoria 3071, Australia","Cafes, Spanish, Tapas/Small Plates",https://www.yelp.com/biz/chato-thornbury,Thornbury
"Narai Thai Restaurant",3.3,8,+61394823637,"214 St Georges Rd, Northcote Victoria 3070, Australia","Thai",https://www.yelp.com/biz/narai-thai-restaurant-northcote,Northcote
"Zagame's Reservoir Hotel",3.3,8,+61394605799,"257 Edwardes St, Reservoir Victoria 3073, Australia","Restaurants, Bars",https://www.yelp.com/biz/zagames-reservoir-hotel-reservoir-3,Reservoir
"Thien An",3.3,7,+61396870398,"32 Irving St, Footscray Victoria 3011, Australia","Restaurants",https://www.yelp.com/biz/thien-an-footscray,Footscray
"Taste of Thai",3.3,7,+61390770068,"434 Sydney Rd, Coburg Victoria 3058, Australia","Thai, Fast Food",https://www.yelp.com/biz/taste-of-thai-coburg,Coburg
"Buddha Thai",3.3,7,+61394802628,"53 Plenty Rd, Preston Victoria 3072, Australia","Thai",https://www.yelp.com/biz/buddha-thai-preston,Reservoir
"Back Alley Sally's",3.3,6,+61390416400,"4 Yewers St, Footscray Victoria 3011, Australia","Bars, Pizza",https://www.yelp.com/biz/back-alley-sallys-footscray,Footscray
"Saleem Indian Restaurant Byo",3.3,6,+61393541899,"4114 Bell St, Shop 3, Coburg Victoria 3058, Australia","Indian",https://www.yelp.com/biz/saleem-indian-restaurant-byo-coburg-2,Coburg
"Mr. Miyagi",3.4,43,+61395295999,"99 Chapel St, Windsor Victoria 3181, Australia","Japanese",https://www.yelp.com/biz/mr-miyagi-windsor,St Kilda
"Fonda Mexican",3.4,42,+61394290085,"248 Swan St, Richmond Victoria 3121, Australia","Mexican",https://www.yelp.com/biz/fonda-mexican-richmond,Richmond
"Time Out Fed Square Cafe",3.4,31,+61396713855,"2 Swanston St, Melbourne Victoria 3004, Australia","Cafes",https://www.yelp.com/biz/time-out-fed-square-cafe-melbourne,South Yarra
"Newmarket Hotel",3.4,25,+61398100087,"34 Inkerman St, St Kilda Victoria 3182, Australia","Wine Bars, Mexican",https://www.yelp.com/biz/newmarket-hotel-st-kilda,St Kilda
"Parlour Diner",3.4,23,+61395332006,"64 Chapel St, Windsor Victoria 3181, Australia","American, Coffee & Tea",https://www.yelp.com/biz/parlour-diner-windsor,St Kilda
"I Love Dumplings",3.4,22,+61394289201,"298 Bridge Rd, Richmond Victoria 3121, Australia","Chinese",https://www.yelp.com/biz/i-love-dumplings-richmond-2,Richmond
"Wesley Anne",3.4,21,+61394821333,"250 High St, Northcote Victoria 3070, Australia","Restaurants, Wine Bars",https://www.yelp.com/biz/wesley-anne-northcote,Preston
"Footscray Milking Station",3.4,20,+61390299240,"35 Bunbury St, Footscray Victoria 3011, Australia","Coffee & Tea, Restaurants",https://www.yelp.com/biz/footscray-milking-station-footscray,Footscray
"Alpha Barbers",3.4,19,+61396637274,"360 Elizabeth St, Shop LG 10, Melbourne Victoria 3000, Australia","Barbers",https://www.yelp.com/biz/alpha-barbers-melbourne,Fitzroy
"Two Bob",3.4,17,+61394825444,"270 Queens Pde, Fitzroy North Victoria 3068, Australia","Restaurants, Coffee & Tea",https://www.yelp.com/biz/two-bob-fitzroy-north-2,Northcote
"Skinny Dog Hotel",3.4,17,+61398538023,"155 High St, Kew Victoria 3101, Australia","Restaurants, Bars",https://www.yelp.com/biz/skinny-dog-hotel-kew,Richmond
"FAT Fried and Tasty",3.4,16,+611300328462,"360 Lygon St, Brunswick East Victoria 3057, Australia","American",https://www.yelp.com/biz/fat-fried-and-tasty-brunswick-east,Brunswick
"Hotel Jesus",3.4,16,+61396506054,"174 Smith St, Collingwood Victoria 3066, Australia","Mexican, Bars",https://www.yelp.com/biz/hotel-jesus-collingwood-2,Richmond
"Ray Cafe",3.4,15,+61393808593,"332 Victoria St, Brunswick Victoria 3056, Australia","Breakfast & Brunch, Coffee & Tea",https://www.yelp.com/biz/ray-cafe-brunswick-2,Brunswick
"Cafe Victoria",3.4,10,+61393296891,"517 Elizabeth St, Melbourne Victoria 3000, Australia","Cafes",https://www.yelp.com/biz/cafe-victoria-melbourne,Carlton
"Jimmy Watson's Restaurant",3.4,10,+61393473985,"333 Lygon St, Carlton Victoria 3053, Australia","Wine Bars, Middle Eastern, International",https://www.yelp.com/biz/jimmy-watsons-restaurant-carlton-2,Carlton
"Taxiboat",3.4,9,+61394827882,"94 High St, Northcote Victoria 3070, Australia","Restaurants",https://www.yelp.com/biz/taxiboat-northcote,Northcote
"Northcote Bakeshop",3.4,9,+61394895008,"571A High St, Northcote Victoria 3070, Australia","Bakeries, Restaurants",https://www.yelp.com/biz/northcote-bakeshop-northcote,Northcote
"Brunswick Flour Mill",3.4,8,+61390780497,"341 Sydney Rd, Shop 1, Brunswick Victoria 3056, Australia","Restaurants, Coffee & Tea",https://www.yelp.com/biz/brunswick-flour-mill-brunswick,Brunswick
"The Reading Room",3.4,7,+61399194091,"88 Ballarat Rd, Footscray Victoria 3011, Australia","Coffee & Tea, Cafes, Breakfast & Brunch",https://www.yelp.com/biz/the-reading-room-footscray,Footscray
"Thuan An Restaurant",3.4,7,+61393111119,"253 Hampshire Rd, Sunshine Victoria 3020, Australia","Chinese",https://www.yelp.com/biz/thuan-an-restaurant-sunshine,Sunshine
"Northern Soul",3.4,5,+61394802333,"843 High St, Thornbury Victoria 3071, Australia","Restaurants, Coffee & Tea",https://www.yelp.com/biz/northern-soul-thornbury,Preston
"The Corner Cafe on Woodland",3.4,5,+61393744757,"62-64 Woodland St, Strathmore Victoria 3041, Australia","Coffee & Tea",https://www.yelp.com/biz/the-corner-cafe-on-woodland-strathmore,Coburg
"Salon Duval",3.4,5,+61394865566,"82 High St, Northcote Victoria 3070, Australia","Hair Salons",https://www.yelp.com/biz/salon-duval-northcote,Brunswick
"Royal Crown Barbers",3.4,5,+61398196359,"539 Glenferrie Rd, Hawthorn Victoria 3122, Australia","Hair Salons",https://www.yelp.com/biz/royal-crown-barbers-hawthorn,Footscray
"Trippy Taco",3.5,62,+61394157711,"234 Gertrude St, Fitzroy Victoria 3065, Australia","Mexican",https://www.yelp.com/biz/trippy-taco-fitzroy,Fitzroy
"Pillar of Salt",3.5,49,+61394211550,"541 Church Street, Richmond Victoria 3121, Australia","Restaurants, Coffee & Tea",https://www.yelp.com/biz/pillar-of-salt-richmond,Richmond
"Matcha Mylkbar",3.5,42,+61395341111,"72 Acland St, Saint Kilda Victoria 3182, Australia","Vegan",https://www.yelp.com/biz/matcha-mylkbar-saint-kilda,St Kilda
"Code Black Coffee",3.5,36,+61393812330,"15-17 Weston St, Brunswick Victoria 3056, Australia","Cafes, Coffee Roasteries",https://www.yelp.com/biz/code-black-coffee-brunswick,Brunswick
"Misschu",3.5,36,+61390415848,"276 Toorak Rd, South Yarra Victoria 3141, Australia","Restaurants",https://www.yelp.com/biz/misschu-south-yarra,Richmond
"Siglo",3.5,35,+61396546631,"Level 3, 161 Spring St, Melbourne Victoria 3000, Australia","Wine Bars, Lounges, Gastropubs",https://www.yelp.com/biz/siglo-melbourne,Fitzroy
"Republica St Kilda Beach",3.5,34,+61385989055,"10-18 Jacka Bvd, St Kilda Victoria 3182, Australia","Bars, Australian, Venues & Event Spaces",https://www.yelp.com/biz/republica-st-kilda-beach-st-kilda-2,St Kilda
"Fatto Bar & Cantina",3.5,32,+61386988800,"100 St Kilda Rd, River Terrace, Hamer Hall Arts Centre, Melbourne Victoria 3004, Australia","Italian, Cafes",https://www.yelp.com/biz/fatto-bar-and-cantina-melbourne-3,South Yarra
"Arcadia Cafe Restaurant",3.5,31,+61394161055,"193 Gertrude St, Fitzroy Victoria 3065, Australia","Cafes",https://www.yelp.com/biz/arcadia-cafe-restaurant-fitzroy-3,Fitzroy
"Rice Queen",3.5,28,+61394196624,"389 Brunswick St, Fitzroy Victoria 3065, Australia","Bars, Australian",https://www.yelp.com/biz/rice-queen-fitzroy-2,Fitzroy
"Sister of Soul",3.5,25,+61395938550,"73 Acland St, St Kilda Victoria 3182, Australia","Vegetarian",https://www.yelp.com/biz/sister-of-soul-st-kilda,St Kilda
"Danny's Burgers",3.5,24,+61394815847,"358/360 Georges Rd, Fitzroy North Victoria 3068, Australia","Burgers",https://www.yelp.com/biz/dannys-burgers-fitzroy-north-3,Brunswick
"Post Office Hotel",3.5,24,+61393865300,"231 Sydney Rd, Coburg Victoria 3058, Australia","Restaurants, Bars",https://www.yelp.com/biz/post-office-hotel-coburg-2,Brunswick
"John Gorilla",3.5,22,+61390058680,"49 Pearson St, Brunswick West Victoria 3055, Australia","Restaurants, Coffee & Tea",https://www.yelp.com/biz/john-gorilla-brunswick-west,Brunswick
"Lemon, Middle and Orange",3.5,19,+61394151593,"25 - 31 Rokeby St, Collingwood Victoria 3066, Australia","Coffee & Tea, Breakfast & Brunch",https://www.yelp.com/biz/lemon-middle-and-orange-collingwood,Richmond
"Virgin Active Health Club",3.5,19,+61392685300,"138 Bourke St, Melbourne Victoria 3000, Australia","Gyms, Trainers, Pilates",https://www.yelp.com/biz/virgin-active-health-club-melbourne,Fitzroy
"Union Hotel Brunswick",3.5,18,+61393882235,"109 Union St, Brunswick Victoria 3056, Australia","Bars, Restaurants",https://www.yelp.com/biz/union-hotel-brunswick-brunswick,Brunswick
"Trotters Restaurant",3.5,16,+61393475657,"400 Lygon St, Carlton Victoria 3053, Australia","Italian, Coffee & Tea",https://www.yelp.com/biz/trotters-restaurant-carlton-2,Carlton
"Fifteen Pounds",3.5,13,+61394824481,"21-23 Railway Pl, #21, Melbourne Victoria 3078, Australia","Restaurants, Coffee & Tea",https://www.yelp.com/biz/fifteen-pounds-melbourne,Northcote
"King & Godfree",3.5,13,+618393471619,"299 Lygon St, Carlton Victoria 3053, Australia","Delis",https://www.yelp.com/biz/king-and-godfree-carlton-2,Carlton
"Joe's Shoe Store",3.5,13,+61394827666,"233 High St, Northcote Victoria 3070, Australia","Bars, Restaurants",https://www.yelp.com/biz/joes-shoe-store-northcote-2,Thornbury
"Melbourne Sports & Aquatic Centre",3.5,13,+61399261555,"31-33 Aughtie Dr, Albert Park Victoria 3206, Australia","Sports Clubs",https://www.yelp.com/biz/melbourne-sports-and-aquatic-centre-albert-park-4,Richmond
"Atticus Finch",3.5,12,+61393870188,"129 Lygon St, Brunswick East Victoria 3057, Australia","Wine Bars, Restaurants",https://www.yelp.com/biz/atticus-finch-brunswick-east,Brunswick
"Dosa Hut",3.5,11,+61396870171,"604b Barkly St, West Footscray Victoria 3012, Australia","Indian, Fast Food",https://www.yelp.com/biz/dosa-hut-west-footscray,Sunshine
"Lucy Lockett",3.5,11,,"140 Barkly St, Melbourne Victoria 3056, Australia","Coffee & Tea, Restaurants",https://www.yelp.com/biz/lucy-lockett-melbourne,Brunswick
"Brazilica",3.5,11,+61394157755,"292 Smith St, Collingwood Victoria 3066, Australia","Waxing",https://www.yelp.com/biz/brazilica-collingwood,Fitzroy
"South Pacific Health Club",3.5,11,+61395254888,"10-18 Jacka Bvd, St Kilda Victoria 3182, Australia","Gyms",https://www.yelp.com/biz/south-pacific-health-club-st-kilda,St Kilda
"Lazy Bean",3.5,10,+61394814454,"31a South Cres, Northcote Victoria 3070, Australia","Restaurants, Coffee & Tea",https://www.yelp.com/biz/lazy-bean-northcote-2,Northcote
"Toto's Pizza House",3.5,10,+61393471888,"101 Lygon St, Carlton Victoria 3053, Australia","French, Fast Food, Pizza",https://www.yelp.com/biz/totos-pizza-house-carlton,Carlton
"The Eastern Bloc",3.5,8,+61393548830,"133 Bell St, Coburg Victoria 3058, Australia","Coffee & Tea, Restaurants",https://www.yelp.com/biz/the-eastern-bloc-coburg,Coburg
"Wang Wang Dumpling",3.5,8,+61393540294,"Shop 3, #3, Coburg Victoria 3058, Australia","Chinese",https://www.yelp.com/biz/wang-wang-dumpling-coburg,Coburg
"Freedom Dental",3.5,8,+611300437333,"37 Albert Road, Suite 6, South Melbourne Victoria 3004, Australia","General Dentistry, Endodontists, Cosmetic Dentists",https://www.yelp.com/biz/freedom-dental-south-melbourne-3,St Kilda
"Doherty's Gym",3.5,8,+61396211022,"Vaults 1-4, Melbourne Victoria 3000, Australia","Gyms",https://www.yelp.com/biz/dohertys-gym-melbourne,Fitzroy
"Brunswick Foodstore",3.5,6,+61393888738,"29 Weston St, Brunswick Victoria 3056, Australia","Restaurants, Coffee & Tea",https://www.yelp.com/biz/brunswick-foodstore-brunswick-2,Brunswick
"Seasons Provedore",3.5,6,+61393473585,"199 Lygon St, Carlton Victoria 3053, Australia","Restaurants, Coffee & Tea",https://www.yelp.com/biz/seasons-provedore-carlton,Carlton
"Middletown",3.5,6,+61395302288,"229 High St, Prahran Victoria 3181, Australia","Cafes",https://www.yelp.com/biz/middletown-prahran,Prahran
"Phu Vinh the noodle shop",3.5,6,+61411494606,"93 Hopskins St, Footscray Victoria 3011, Australia","Chinese",https://www.yelp.com/biz/phu-vinh-the-noodle-shop-footscray,Footscray
"Roy's On Melville",3.5,6,+61393882006,"57 Melville Rd, Brunswick West Victoria 3055, Australia","Cafes, Italian, Pizza",https://www.yelp.com/biz/roys-on-melville-brunswick-west,Coburg
"Two by Two",3.5,6,+61394865885,"235 High St, Northcote Victoria 3070, Australia","Restaurants",https://www.yelp.com/biz/two-by-two-northcote,Northcote
"Brazilian Butterfly",3.5,6,+61393881110,"769 Nicholson St, Carlton North Victoria 3054, Australia","Hair Salons",https://www.yelp.com/biz/brazilian-butterfly-carlton-north-2,Northcote
"Lord Of The Fries",3.6,47,+611300667552,"Shop 5, 207 Flinders St Station, Melbourne Victoria 3000, Australia","Fast Food, Burgers, Vegetarian",https://www.yelp.com/biz/lord-of-the-fries-melbourne-9,South Yarra
"Waterfront Southgate",3.6,45,+61396869766,"Shop G20, Ground Level, Southgate Ave, Melbourne Victoria 3006, Australia","Seafood, Steakhouses",https://www.yelp.com/biz/waterfront-southgate-melbourne,South Yarra
"Easey's",3.6,44,+61390795942,"48 Easey St, Melbourne Victoria 3066, Australia","Burgers, Bars, American",https://www.yelp.com/biz/easeys-melbourne,Fitzroy
"The Cornish Arms",3.6,42,+61393808383,"163A Sydney Rd, Brunswick Victoria 3056, Australia","Bars, Restaurants",https://www.yelp.com/biz/the-cornish-arms-brunswick,Brunswick
"Tom Phat",3.6,39,+61391213377,"184 Sydney Rd, Brunswick Victoria 3056, Australia","Thai",https://www.yelp.com/biz/tom-phat-brunswick,Brunswick
"Hobba",3.6,38,+61395108336,"428 Malvern Rd, Prahran Victoria 3181, Australia","Restaurants, Coffee & Tea, Bars",https://www.yelp.com/biz/hobba-prahran-4,St Kilda
"La Roche Cafe",3.6,36,+61395341472,"185 Acland St, St Kilda Victoria 3182, Australia","Restaurants, Coffee & Tea",https://www.yelp.com/biz/la-roche-cafe-st-kilda-2,St Kilda
"Bimbo Deluxe",3.6,35,+61394198600,"376 Brunswick St, Fitzroy Victoria 3065, Australia","Pizza, Wine Bars",https://www.yelp.com/biz/bimbo-deluxe-fitzroy,Fitzroy
"Shark Fin Inn",3.6,29,+61396622681,"50 Little Bourke Street, Melbourne Victoria 3000, Australia","Chinese, Seafood",https://www.yelp.com/biz/shark-fin-inn-melbourne-2,Fitzroy
"Tutto Bene",3.6,28,+61396963334,"Mid Level Southgate, Melbourne Victoria 3006, Australia","Italian",https://www.yelp.com/biz/tutto-bene-melbourne,South Yarra
"Jim's Greek Tavern",3.6,26,+61394193827,"32 Johnston St, Collingwood Victoria 3066, Australia","Greek",https://www.yelp.com/biz/jims-greek-tavern-collingwood-2,Collingwood
"La Camera Southgate",3.6,26,+61396993600,"Shop MR2 Mid Level East End, Melbourne Victoria 3006, Australia","Italian, Pizza",https://www.yelp.com/biz/la-camera-southgate-melbourne-2,South Yarra
"Little Henri",3.6,25,+61394848857,"Suite 848, Thornbury Victoria 3071, Australia","Restaurants, Coffee & Tea",https://www.yelp.com/biz/little-henri-thornbury,Preston
"Gasometer",3.6,22,+61394175539,"484 Smith St, Collingwood Victoria 3066, Australia","American, Bars",https://www.yelp.com/biz/gasometer-collingwood-3,Collingwood
"Seddon Deadly Sins",3.6,21,+61396893092,"148 Victoria St, Seddon Victoria 3011, Australia","Restaurants, Coffee & Tea",https://www.yelp.com/biz/seddon-deadly-sins-seddon,Footscray
"Abacus Bar",3.6,21,+61398241026,"383 Chapel St, South Yarra Victoria 3141, Australia","Breakfast & Brunch, Coffee & Tea",https://www.yelp.com/biz/abacus-bar-south-yarra,South Yarra
"The Brunswick Mess Hall",3.6,20,+61393880297,"400 Sydney Rd, Brunswick Victoria 3056, Australia","Bars, Restaurants",https://www.yelp.com/biz/the-brunswick-mess-hall-brunswick-2,Brunswick
"Gramercy Social",3.6,20,+61390981155,"162-164 Commercial Road, Prahran Victoria 3141, Australia","American",https://www.yelp.com/biz/gramercy-social-prahran,St Kilda
"95 Espresso",3.6,20,+61395347141,"95 Acland St, St Kilda Victoria 3182, Australia","Restaurants, Coffee & Tea",https://www.yelp.com/biz/95-espresso-st-kilda,St Kilda
"Sam's Cali Cantina ",3.6,19,+61399739551,"760 Chapel St, South Yarra Victoria 3141, Australia","Burgers, Coffee & Tea",https://www.yelp.com/biz/sams-cali-cantina-south-yarra,Richmond
"Chew Burgers",3.6,18,+61394849720,"147 Plenty Rd, Melbourne Victoria 3072, Australia","Burgers",https://www.yelp.com/biz/chew-burgers-melbourne,Preston
"Northcote Social Club",3.6,17,+61394893917,"301 High St, Northcote Victoria 3070, Australia","Bars, Music Venues, Restaurants",https://www.yelp.com/biz/northcote-social-club-northcote,Preston
"Ying Thai 2",3.6,17,+61396391697,"110 Lygon St, Carlton Victoria 3053, Australia","Thai",https://www.yelp.com/biz/ying-thai-2-carlton,Carlton
"Pizza Meine Liebe",3.6,15,+61394827001,"231 High St, Northcote Victoria 3070, Australia","Pizza",https://www.yelp.com/biz/pizza-meine-liebe-northcote-2,Preston
"Foxtrot Charlie",3.6,14,,"359 Sydney Rd, Brunswick Victoria 3056, Australia","Restaurants",https://www.yelp.com/biz/foxtrot-charlie-brunswick,Brunswick
